Validation_Set,Threshold,Strategy,Net_Benefit
NWICU,0.2,XGBoost,0.146255850234009
NWICU,0.2,Treat all,0.0698127925117005
NWICU,0.2,Treat none,0
NWICU,0.21,XGBoost,0.143703469657774
NWICU,0.21,Treat all,0.0580382708979245
NWICU,0.21,Treat none,0
NWICU,0.22,XGBoost,0.140245609824393
NWICU,0.22,Treat all,0.0459618384735389
NWICU,0.22,Treat none,0
NWICU,0.23,XGBoost,0.137528618027838
NWICU,0.23,Treat all,0.0335717324796888
NWICU,0.23,Treat none,0
NWICU,0.24,XGBoost,0.136218080302159
NWICU,0.24,Treat all,0.0208555710649478
NWICU,0.24,Treat none,0
NWICU,0.25,XGBoost,0.134165366614665
NWICU,0.25,Treat all,0.00780031201248047
NWICU,0.25,Treat none,0
NWICU,0.26,XGBoost,0.13020196483535
NWICU,0.26,Treat all,-0.00560779187924276
NWICU,0.26,Treat none,0
NWICU,0.27,XGBoost,0.125809415938281
NWICU,0.27,Treat all,-0.019383241083068
NWICU,0.27,Treat none,0
NWICU,0.28,XGBoost,0.122118218062056
NWICU,0.28,Treat all,-0.0335413416536662
NWICU,0.28,Treat none,0
NWICU,0.29,XGBoost,0.120212695831777
NWICU,0.29,Treat all,-0.0480982619586474
NWICU,0.29,Treat none,0
NWICU,0.3,XGBoost,0.117004680187208
NWICU,0.3,Treat all,-0.0630710942723424
NWICU,0.3,Treat none,0
NWICU,0.31,XGBoost,0.115535056184856
NWICU,0.31,Treat all,-0.0784779217255647
NWICU,0.31,Treat none,0
NWICU,0.32,XGBoost,0.108929063044875
NWICU,0.32,Treat all,-0.0943378911627054
NWICU,0.32,Treat none,0
NWICU,0.33,XGBoost,0.103057256618623
NWICU,0.33,Treat all,-0.110671292523343
NWICU,0.33,Treat none,0
NWICU,0.34,XGBoost,0.0980948328842245
NWICU,0.34,Treat all,-0.127499645440363
NWICU,0.34,Treat none,0
NWICU,0.35,XGBoost,0.0997239889595584
NWICU,0.35,Treat all,-0.144845793831753
NWICU,0.35,Treat none,0
NWICU,0.36,XGBoost,0.0976014040561622
NWICU,0.36,Treat all,-0.162734009360374
NWICU,0.36,Treat none,0
NWICU,0.37,XGBoost,0.0932323007206002
NWICU,0.37,Treat all,-0.181190104747047
NWICU,0.37,Treat none,0
NWICU,0.38,XGBoost,0.0905842685320316
NWICU,0.38,Treat all,-0.200241558049419
